game,who_won
1590,h-yellow
1591,h-red
1592,d-red
1593,d-yellow
1594,h-yellow
1595,h-yellow
1596,d-yellow
1597,h-red
1598,h-yellow
1599,h-yellow
1600,h-red
1601,d-red
1602,d-red
1603,h-yellow
1604,d-red
1605,h-red
1606,d-red
1607,d-red
1608,h-red
1609,v-yellow
1610,d-red
1611,h-red
1612,d-yellow
1613,h-red
1614,h-red
1615,h-red
1616,tie
1617,d-red
1618,v-red
1619,d-red
1620,d-red
1621,h-yellow
1622,d-red
1623,h-yellow
1624,h-yellow
1625,h-yellow
1626,d-red
1627,h-red
1628,d-red
1629,h-yellow
1630,tie
1631,h-yellow
1632,d-red
1633,d-yellow
1634,h-yellow
1635,v-yellow
1636,d-red
1637,h-red
1638,d-red
1639,d-red
1640,d-red
1641,d-yellow
1642,d-red
1643,h-yellow
1644,d-yellow
1645,d-yellow
1646,d-red
1647,d-yellow
1648,h-yellow
1649,d-yellow
1650,h-red
1651,d-red
1652,d-red
1653,d-yellow
1654,v-red
1655,d-red
1656,d-red
1657,h-yellow
1658,d-yellow
1659,d-yellow
1660,h-yellow
1661,v-yellow
1662,v-yellow
1663,h-yellow
1664,h-red
1665,d-red
1666,d-red
1667,d-yellow
1668,d-red
1669,h-yellow
1670,h-red
1671,v-red
1672,d-yellow
1673,h-red
1674,h-yellow
1675,d-red
1676,d-yellow
1677,d-red
1678,v-yellow
1679,h-red
1680,h-yellow
1681,h-yellow
1682,h-yellow
1683,h-red
1684,d-red
1685,h-red
1686,d-yellow
1687,h-yellow
1688,d-yellow
1689,h-red
1690,h-red
1691,h-yellow
1692,tie
1693,h-red
1694,tie
1695,h-red
1696,d-red
1697,d-yellow
1698,h-red
1699,d-red
1700,v-red
1701,d-red
1702,h-red
1703,h-red
1704,d-red
1705,h-yellow
1706,d-red
1707,h-yellow
1708,h-yellow
1709,h-red
1710,d-yellow
1711,d-yellow
1712,tie
1713,h-red
1714,h-red
1715,d-red
1716,h-red
1717,d-red
1718,h-yellow
1719,d-red
1720,h-yellow
1721,h-yellow
1722,h-yellow
1723,d-yellow
1724,h-red
1725,tie
1726,d-yellow
1727,d-red
1728,d-red
1729,d-yellow
1730,d-yellow
1731,d-yellow
1732,tie
1733,h-red
1734,h-red
1735,d-red
1736,d-yellow
1737,tie
1738,h-yellow
1739,d-yellow
1740,d-red
1741,h-yellow
1742,h-red
1743,d-yellow
1744,d-yellow
1745,d-yellow
1746,tie
1747,tie
1748,h-yellow
1749,h-yellow
1750,d-yellow
1751,h-yellow
1752,d-yellow
1753,d-red
1754,h-yellow
1755,h-red
1756,v-red
1757,d-yellow
1758,h-yellow
1759,d-red
1760,d-yellow
1761,h-red
1762,tie
1763,h-red
1764,tie
1765,h-yellow
1766,d-red
1767,tie
1768,h-red
1769,h-red
1770,d-yellow
1771,h-yellow
1772,d-red
1773,h-red
1774,d-yellow
1775,h-red
1776,h-yellow
1777,d-yellow
1778,d-yellow
1779,d-red
1780,h-yellow
1781,h-red
1782,d-red
1783,d-yellow
1784,h-yellow
1785,d-yellow
1786,h-yellow
1787,d-yellow
1788,d-red
1789,h-red
1790,h-red
1791,h-red
1792,tie
1793,h-red
1794,d-yellow
1795,h-red
1796,h-yellow
1797,h-red
1798,h-yellow
1799,h-yellow
1800,d-yellow
1801,h-yellow
1802,h-yellow
1803,d-yellow
1804,d-yellow
1805,d-red
1806,h-yellow
1807,h-red
1808,d-red
1809,d-red
1810,h-red
1811,h-yellow
1812,h-yellow
1813,h-red
1814,tie
1815,d-yellow
1816,h-yellow
1817,d-red
1818,d-yellow
1819,h-red
1820,d-red
1821,h-red
1822,d-red
1823,h-red
1824,v-red
1825,h-red
1826,d-yellow
1827,h-red
1828,d-yellow
1829,tie
1830,h-red
1831,h-yellow
1832,v-yellow
1833,h-red
1834,v-red
1835,d-yellow
1836,d-yellow
1837,h-yellow
1838,h-yellow
1839,h-yellow
1840,d-red
1841,h-yellow
1842,h-red
1843,h-red
1844,h-yellow
1845,d-yellow
1846,h-yellow
1847,h-red
1848,d-yellow
1849,h-yellow
1850,d-red
1851,h-red
1852,h-red
1853,h-yellow
1854,d-yellow
1855,d-yellow
1856,h-yellow
1857,v-yellow
1858,d-yellow
1859,d-yellow
1860,h-yellow
1861,h-red
1862,d-red
1863,h-red
1864,d-yellow
1865,d-yellow
1866,h-yellow
1867,h-yellow
1868,d-red
1869,d-yellow
1870,v-yellow
1871,h-red
1872,h-red
1873,d-red
1874,d-yellow
1875,h-red
1876,tie
1877,h-yellow
1878,h-yellow
1879,h-red
1880,h-yellow
1881,tie
1882,d-red
